x,y,abs_corr
gov_effectiveness_z,gov_effectiveness_imputed,1.0000000000000024
gov_effectiveness,gov_effectiveness_z,1.0000000000000024
control_corruption_z,control_corruption_imputed,1.0000000000000022
control_corruption,control_corruption_z,1.0000000000000022
fdi_inflow_usd_ln,fdi_inflow_usd_ln_safe,1.0000000000000002
imports_usd_ln,imports_usd_ln_safe,1.0000000000000002
total_reserves_usd_ln,total_reserves_usd_ln_safe,1.0000000000000002
exports_usd_ln,exports_usd_ln_safe,1.0000000000000002
gdp_usd_ln,gdp_usd_ln_safe,1.0
political_stability,political_stability_imputed,1.0
reg_quality,reg_quality_imputed,1.0
gov_effectiveness,gov_effectiveness_imputed,1.0
control_corruption,control_corruption_imputed,1.0
rule_of_law,rule_of_law_imputed,1.0
voice_accountability,voice_accountability_imputed,1.0
rule_of_law_z,rule_of_law_imputed,0.9999999999999998
current_account_balance_usd_ln,current_account_balance_usd_ln_safe,0.9999999999999998
rule_of_law,rule_of_law_z,0.9999999999999998
external_debt_usd_ln,external_debt_usd_ln_safe,0.9999999999999996
political_stability,political_stability_z,0.9999999999999989
political_stability_z,political_stability_imputed,0.9999999999999989
reg_quality_z,reg_quality_imputed,0.9999999999999987
reg_quality,reg_quality_z,0.9999999999999986
voice_accountability,voice_accountability_z,0.9999999999999959
voice_accountability_z,voice_accountability_imputed,0.9999999999999957
exports_usd,imports_usd,0.9988668419249767
gdp_usd,gdp_usd_lag1,0.9984691137280828
gov_index_zmean,gov_index_zmean_lag1,0.994795897648265
gdp_per_capita_usd,gdp_per_capita_usd_lag1,0.9930994910736585
exports_usd_ln_safe,imports_usd_ln_safe,0.9899992716768551
imports_usd_ln,exports_usd_ln_safe,0.9899992716768551
exports_usd_ln,imports_usd_ln_safe,0.989999271676855
exports_usd_ln,imports_usd_ln,0.989999271676855
imports_usd_ln,gdp_usd_ln_safe,0.9857114610514663
gdp_usd_ln,imports_usd_ln_safe,0.9857114610514662
gdp_usd_ln_safe,imports_usd_ln_safe,0.9857114610514662
gdp_usd_ln,imports_usd_ln,0.985711461051466
imports_usd,gdp_usd,0.984983679412307
imports_usd,gdp_usd_lag1,0.9834291034927706
external_debt_usd,gdp_usd_lag1,0.9828821699342687
external_debt_usd,gdp_usd,0.9824414454609002
external_debt_usd,imports_usd,0.981842212349845
exports_usd,gdp_usd,0.980055347132697
exports_usd,gdp_usd_lag1,0.9784237907468877
exports_usd_ln,gdp_usd_ln_safe,0.9774696595532613
gdp_usd_ln_safe,exports_usd_ln_safe,0.9774696595532608
gdp_usd_ln,exports_usd_ln,0.9774696595532606
gdp_usd_ln,exports_usd_ln_safe,0.9774696595532606
external_debt_usd,exports_usd,0.9760935670533557
rule_of_law_z,gov_index_zmean,0.9748800179089904
rule_of_law,gov_index_zmean,0.9748800179089882
gov_index_zmean,rule_of_law_imputed,0.9745653896139916
rule_of_law_z,gov_index_zmean_lag1,0.9716629645958201
rule_of_law,gov_index_zmean_lag1,0.9716629645958201
gov_index_zmean_lag1,rule_of_law_imputed,0.9700360043262456
gdp_usd_ln,external_debt_usd_ln_safe,0.9554142334678445
gdp_usd_ln_safe,external_debt_usd_ln_safe,0.9554142334678443
external_debt_usd_ln,gdp_usd_ln_safe,0.955414233467844
gdp_usd_ln,external_debt_usd_ln,0.9554142334678439
gov_effectiveness,gov_index_zmean,0.9525442909001473
gov_effectiveness_z,gov_index_zmean,0.9525442909001448
imports_usd_ln,external_debt_usd_ln_safe,0.9514428506404353
external_debt_usd_ln,imports_usd_ln_safe,0.9514428506404353
imports_usd_ln_safe,external_debt_usd_ln_safe,0.9514428506404353
imports_usd_ln,external_debt_usd_ln,0.9514428506404353
control_corruption_z,gov_index_zmean,0.9511379449503659
control_corruption,gov_index_zmean,0.9511379449503611
control_corruption,gov_index_zmean_lag1,0.947955677864858
control_corruption_z,gov_index_zmean_lag1,0.947955677864857
gov_index_zmean,control_corruption_imputed,0.9472003948367222
gov_effectiveness_z,gov_index_zmean_lag1,0.9458313538286639
gov_effectiveness,gov_index_zmean_lag1,0.9458313538286612
gov_index_zmean_lag1,control_corruption_imputed,0.9436472097446396
exports_usd_ln,external_debt_usd_ln,0.9423648173478518
exports_usd_ln,external_debt_usd_ln_safe,0.9423648173478517
external_debt_usd_ln,exports_usd_ln_safe,0.9423648173478516
exports_usd_ln_safe,external_debt_usd_ln_safe,0.9423648173478514
gov_index_zmean,gov_effectiveness_imputed,0.941631555633379
imports_usd_ln_safe,fdi_inflow_usd_ln_safe,0.9370930585653773
fdi_inflow_usd_ln,imports_usd_ln_safe,0.9370930585653772
imports_usd_ln,fdi_inflow_usd_ln_safe,0.937093058565377
fdi_inflow_usd_ln,imports_usd_ln,0.9370930585653768
control_corruption,rule_of_law_z,0.9368859813347694
rule_of_law,control_corruption,0.9368859813347686
rule_of_law_z,control_corruption_z,0.9368859813347673
rule_of_law,control_corruption_z,0.9368859813347669
control_corruption_z,rule_of_law_imputed,0.9368053273407765
control_corruption,rule_of_law_imputed,0.9368053273407762
exports_usd_ln,fdi_inflow_usd_ln_safe,0.9364259814452387
fdi_inflow_usd_ln,exports_usd_ln,0.9364259814452387
fdi_inflow_usd_ln,exports_usd_ln_safe,0.9364259814452385
exports_usd_ln_safe,fdi_inflow_usd_ln_safe,0.9364259814452385
gov_index_zmean_lag1,gov_effectiveness_imputed,0.9361407930201482
rule_of_law_imputed,control_corruption_imputed,0.9359240542738458
rule_of_law_z,control_corruption_imputed,0.9341709812230384
rule_of_law,control_corruption_imputed,0.9341709812230377
reg_quality,gov_index_zmean,0.9323816827000547
reg_quality_z,gov_index_zmean,0.9323816827000507
gov_effectiveness_z,rule_of_law_imputed,0.9323371573850977
rule_of_law,gov_effectiveness_z,0.9323371573850977
gov_effectiveness_z,rule_of_law_z,0.932337157385096
gov_effectiveness,rule_of_law_z,0.9323371573850956
gov_effectiveness,rule_of_law,0.9323371573850944
gov_effectiveness,rule_of_law_imputed,0.9323371573850944
fdi_inflow_usd,external_debt_usd,0.9299783077343271
gov_effectiveness_imputed,reg_quality_imputed,0.929941292739531
reg_quality,gov_effectiveness_z,0.9297981477268166
gov_effectiveness_z,reg_quality_z,0.9297981477268147
gov_effectiveness,reg_quality,0.9297981477268132
gov_effectiveness,reg_quality_z,0.9297981477268116
gov_effectiveness_z,reg_quality_imputed,0.9297964437144641
gov_effectiveness,reg_quality_imputed,0.929796443714461
reg_quality,gov_effectiveness_imputed,0.9297476168361732
reg_quality_z,gov_effectiveness_imputed,0.9297476168361721
reg_quality,gov_index_zmean_lag1,0.9269439317868214
