iso3,min,max,n_obs
ABW,2000,2024,25
AFE,2000,2024,25
AFG,1996,2024,27
AFW,2000,2024,25
AGO,1996,2024,27
ALB,1996,2024,27
AND,1996,2024,27
ARB,2000,2024,25
ARE,1996,2024,27
ARG,1996,2024,27
ARM,1996,2024,27
ASM,2000,2023,23
ATG,1996,2024,27
AUS,1996,2024,27
AUT,1996,2024,27
AZE,1996,2024,27
BDI,1996,2024,27
BEL,1996,2024,27
BEN,1996,2024,27
BFA,1996,2024,27
BGD,1996,2024,27
BGR,1996,2024,27
BHR,1996,2024,27
BHS,1996,2024,27
BIH,1996,2024,27
BLR,1996,2024,27
BLZ,1996,2024,27
BMU,1996,2024,27
BOL,1996,2024,27
BRA,1996,2024,27
BRB,1996,2024,27
BRN,1996,2024,27
BTN,1996,2024,27
BWA,1996,2024,27
CAF,1996,2024,27
CAN,1996,2024,27
CEB,2000,2024,25
CHE,1996,2024,27
CHI,2000,2023,23
CHL,1996,2024,27
CHN,1996,2024,27
CIV,1996,2024,27
CMR,1996,2024,27
COD,1996,2024,27
COG,1996,2024,27
COL,1996,2024,27
COM,1996,2024,27
CPV,1996,2024,27
CRI,1996,2024,27
CSS,2000,2024,25
CUB,1996,2023,26
CUW,2000,2024,25
CYM,1996,2024,27
CYP,1996,2024,27
CZE,1996,2024,27
DEU,1996,2024,27
DJI,1996,2024,27
DMA,1996,2024,27
DNK,1996,2024,27
DOM,1996,2024,27
DZA,1996,2024,27
EAP,2000,2024,25
EAR,2000,2024,25
EAS,2000,2024,25
ECA,2000,2024,25
ECS,2000,2024,25
ECU,1996,2024,27
EGY,1996,2024,27
EMU,2000,2024,25
ERI,1996,2024,27
ESP,1996,2024,27
EST,1996,2024,27
ETH,1996,2024,27
EUU,2000,2024,25
FCS,2000,2024,25
FIN,1996,2024,27
FJI,1996,2024,27
FRA,1996,2024,27
FRO,2000,2023,24
FSM,1996,2024,27
GAB,1996,2024,27
GBR,1996,2024,27
GEO,1996,2024,27
GHA,1996,2024,27
GIN,1996,2024,27
GMB,1996,2024,27
GNB,1996,2024,27
GNQ,1996,2024,27
GRC,1996,2024,27
GRD,1996,2024,27
GRL,2000,2023,24
GTM,1996,2024,27
GUM,2000,2023,24
GUY,1996,2024,27
HIC,2000,2024,25
HKG,1996,2024,27
HND,1996,2024,27
HPC,2000,2024,25
HRV,1996,2024,27
HTI,1996,2024,27
HUN,1996,2024,27
IBD,2000,2024,25
IBT,2000,2024,25
IDA,2000,2024,25
IDB,2000,2024,25
IDN,1996,2024,27
IDX,2000,2024,25
IMN,2000,2022,23
IND,1996,2024,27
IRL,1996,2024,27
IRN,1996,2024,27
IRQ,1996,2024,27
ISL,1996,2024,27
ISR,1996,2024,27
ITA,1996,2024,27
JAM,1996,2024,27
JOR,1996,2024,27
JPN,1996,2024,27
KAZ,1996,2024,27
KEN,1996,2024,27
KGZ,1996,2024,27
KHM,1996,2024,27
KIR,1996,2024,27
KNA,1996,2024,27
KOR,1996,2024,27
KWT,1996,2024,27
LAC,2000,2024,25
LAO,1996,2024,27
LBN,1996,2024,27
LBR,1996,2024,27
LBY,1996,2024,27
LCA,1996,2024,27
