country,iso3,indicator_name,indicator_code,year,value
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2000,3521418059.92345
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,39.9399610071484
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,174.930991430166
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,170000.0
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,
Afghanistan,AFG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,
Afghanistan,AFG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,
Afghanistan,AFG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.0311999345890245
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,1.0161
Afghanistan,AFG,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2000,3584570164.85195
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,63.7995818553206
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.46285871776054
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1160.42047054038
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,5.91957346525058
Albania,ALB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,143000000.0
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,34.0401392244169
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,9.73155830514379
Albania,ALB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-156300000.0
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,646305676.491804
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1122051223.3
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,700083432.864841
Albania,ALB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,1508343757.29126
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,61.6092610436407
Albania,ALB,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.158985604164131
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,3.2325
Albania,ALB,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,12.05
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2000,54790398570.3282
Algeria,DZA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,92.5802803061275
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.80000000158476
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1772.92869122761
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,22.6780091895684
Algeria,DZA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,280100000.0
Algeria,DZA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,23.5639069007647
Algeria,DZA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,13.5839456347184
Algeria,DZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,
Algeria,DZA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,13556106802.2149
Algeria,DZA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,25461612754.1
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Algeria,DZA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,23050166016.935
Algeria,DZA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,11390170995.9549
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,62.8583436360347
Algeria,DZA,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.246186100183538
Algeria,DZA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,87.9362
Algeria,DZA,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,2000,
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,
American Samoa,ASM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,49.25
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,
American Samoa,ASM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,
American Samoa,ASM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
American Samoa,ASM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
American Samoa,ASM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,
American Samoa,ASM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,
American Samoa,ASM,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,
American Samoa,ASM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,0.0001
American Samoa,ASM,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
