model,term,coef,std_err,pvalue,n_obs
OLS,const,2.945100051341376,0.2373807105041607,2.4049836388050587e-35,3390
OLS,gov_index_zmean,-0.7813015212558196,0.1558279831793296,5.334555312070583e-07,3390
OLS,trade_exposure,0.0067980183803618,0.0022210608810914,0.0022081446869647,3390
OLS,inflation_consumer_prices_pct,-0.0300356062274733,0.0068673960291871,1.2218462369360446e-05,3390
FE,const,,,,3390
FE,gov_index_zmean,,,,3390
FE,trade_exposure,,,,3390
FE,inflation_consumer_prices_pct,,,,3390
FE,FE_AFG,,,,3390
FE,FE_AGO,,,,3390
FE,FE_ALB,,,,3390
FE,FE_ARE,,,,3390
FE,FE_ARG,,,,3390
FE,FE_ARM,,,,3390
FE,FE_ATG,,,,3390
FE,FE_AUS,,,,3390
FE,FE_AUT,,,,3390
FE,FE_AZE,,,,3390
FE,FE_BDI,,,,3390
FE,FE_BEL,,,,3390
FE,FE_BEN,,,,3390
FE,FE_BFA,,,,3390
FE,FE_BGD,,,,3390
FE,FE_BGR,,,,3390
FE,FE_BHR,,,,3390
FE,FE_BHS,,,,3390
FE,FE_BIH,,,,3390
FE,FE_BLR,,,,3390
FE,FE_BLZ,,,,3390
FE,FE_BOL,,,,3390
FE,FE_BRA,,,,3390
FE,FE_BRB,,,,3390
FE,FE_BRN,,,,3390
FE,FE_BTN,,,,3390
FE,FE_BWA,,,,3390
FE,FE_CAF,,,,3390
FE,FE_CAN,,,,3390
FE,FE_CHE,,,,3390
FE,FE_CHL,,,,3390
FE,FE_CHN,,,,3390
FE,FE_CIV,,,,3390
FE,FE_CMR,,,,3390
FE,FE_COD,,,,3390
FE,FE_COG,,,,3390
FE,FE_COL,,,,3390
FE,FE_COM,,,,3390
FE,FE_CPV,,,,3390
FE,FE_CRI,,,,3390
FE,FE_CYM,,,,3390
FE,FE_CYP,,,,3390
FE,FE_CZE,,,,3390
FE,FE_DEU,,,,3390
FE,FE_DJI,,,,3390
FE,FE_DMA,,,,3390
FE,FE_DNK,,,,3390
FE,FE_DOM,,,,3390
FE,FE_DZA,,,,3390
FE,FE_ECU,,,,3390
FE,FE_EGY,,,,3390
FE,FE_ESP,,,,3390
FE,FE_EST,,,,3390
FE,FE_ETH,,,,3390
FE,FE_FIN,,,,3390
FE,FE_FJI,,,,3390
FE,FE_FRA,,,,3390
FE,FE_FSM,,,,3390
FE,FE_GAB,,,,3390
FE,FE_GBR,,,,3390
FE,FE_GEO,,,,3390
FE,FE_GHA,,,,3390
FE,FE_GIN,,,,3390
FE,FE_GMB,,,,3390
FE,FE_GNB,,,,3390
FE,FE_GNQ,,,,3390
FE,FE_GRC,,,,3390
FE,FE_GRD,,,,3390
FE,FE_GTM,,,,3390
FE,FE_GUY,,,,3390
FE,FE_HKG,,,,3390
FE,FE_HND,,,,3390
FE,FE_HRV,,,,3390
FE,FE_HTI,,,,3390
FE,FE_HUN,,,,3390
FE,FE_IDN,,,,3390
FE,FE_IND,,,,3390
FE,FE_IRL,,,,3390
FE,FE_IRN,,,,3390
FE,FE_IRQ,,,,3390
FE,FE_ISL,,,,3390
FE,FE_ISR,,,,3390
FE,FE_ITA,,,,3390
FE,FE_JAM,,,,3390
FE,FE_JOR,,,,3390
FE,FE_JPN,,,,3390
FE,FE_KAZ,,,,3390
FE,FE_KEN,,,,3390
FE,FE_KGZ,,,,3390
FE,FE_KHM,,,,3390
FE,FE_KIR,,,,3390
FE,FE_KNA,,,,3390
FE,FE_KOR,,,,3390
FE,FE_KWT,,,,3390
FE,FE_LAO,,,,3390
FE,FE_LBN,,,,3390
FE,FE_LBR,,,,3390
FE,FE_LBY,,,,3390
FE,FE_LCA,,,,3390
FE,FE_LKA,,,,3390
FE,FE_LSO,,,,3390
FE,FE_LTU,,,,3390
FE,FE_LUX,,,,3390
FE,FE_LVA,,,,3390
FE,FE_MAC,,,,3390
FE,FE_MAR,,,,3390
FE,FE_MDA,,,,3390
FE,FE_MDG,,,,3390
FE,FE_MDV,,,,3390
FE,FE_MEX,,,,3390
FE,FE_MKD,,,,3390
FE,FE_MLI,,,,3390
FE,FE_MLT,,,,3390
FE,FE_MMR,,,,3390
FE,FE_MNE,,,,3390
FE,FE_MNG,,,,3390
FE,FE_MOZ,,,,3390
FE,FE_MRT,,,,3390
FE,FE_MUS,,,,3390
FE,FE_MWI,,,,3390
FE,FE_MYS,,,,3390
FE,FE_NAM,,,,3390
FE,FE_NER,,,,3390
FE,FE_NGA,,,,3390
FE,FE_NIC,,,,3390
FE,FE_NLD,,,,3390
FE,FE_NOR,,,,3390
FE,FE_NPL,,,,3390
FE,FE_NRU,,,,3390
FE,FE_NZL,,,,3390
FE,FE_OMN,,,,3390
FE,FE_PAK,,,,3390
FE,FE_PAN,,,,3390
FE,FE_PER,,,,3390
FE,FE_PHL,,,,3390
FE,FE_PLW,,,,3390
FE,FE_PNG,,,,3390
FE,FE_POL,,,,3390
FE,FE_PRT,,,,3390
FE,FE_PRY,,,,3390
FE,FE_PSE,,,,3390
FE,FE_QAT,,,,3390
FE,FE_ROU,,,,3390
FE,FE_RUS,,,,3390
FE,FE_RWA,,,,3390
FE,FE_SAU,,,,3390
FE,FE_SDN,,,,3390
FE,FE_SEN,,,,3390
FE,FE_SGP,,,,3390
FE,FE_SLB,,,,3390
FE,FE_SLE,,,,3390
FE,FE_SLV,,,,3390
FE,FE_SMR,,,,3390
FE,FE_SRB,,,,3390
FE,FE_SSD,,,,3390
FE,FE_STP,,,,3390
FE,FE_SUR,,,,3390
FE,FE_SVK,,,,3390
FE,FE_SVN,,,,3390
FE,FE_SWE,,,,3390
FE,FE_SWZ,,,,3390
FE,FE_SYC,,,,3390
FE,FE_SYR,,,,3390
FE,FE_TCD,,,,3390
FE,FE_TGO,,,,3390
FE,FE_THA,,,,3390
FE,FE_TJK,,,,3390
FE,FE_TLS,,,,3390
FE,FE_TON,,,,3390
FE,FE_TTO,,,,3390
FE,FE_TUN,,,,3390
FE,FE_TUR,,,,3390
FE,FE_TZA,,,,3390
FE,FE_UGA,,,,3390
FE,FE_UKR,,,,3390
FE,FE_URY,,,,3390
FE,FE_USA,,,,3390
FE,FE_UZB,,,,3390
FE,FE_VCT,,,,3390
FE,FE_VEN,,,,3390
FE,FE_VNM,,,,3390
FE,FE_VUT,,,,3390
FE,FE_WSM,,,,3390
FE,FE_XKX,,,,3390
FE,FE_YEM,,,,3390
FE,FE_ZAF,,,,3390
FE,FE_ZMB,,,,3390
FE,FE_ZWE,,,,3390
ElasticNetCV,gov_index_zmean,-0.6957188765213033,,,3390
ElasticNetCV,trade_exposure,0.4072507135185851,,,3390
ElasticNetCV,inflation_consumer_prices_pct,-0.4767117550186125,,,3390
ElasticNetCV,const,3.239983391218491,,,3390
DriscollKraay,const,2.9451000513413716,0.4905074446009568,2.1262172023028825e-09,3390
DriscollKraay,gov_index_zmean,-0.7813015212558175,0.240331611574105,0.001161543783962271,3390
DriscollKraay,trade_exposure,0.006798018380361832,0.0014367683546660235,2.3202170700287184e-06,3390
DriscollKraay,inflation_consumer_prices_pct,-0.030035606227473068,0.008586995954400161,0.0004751464381658188,3390
OLS_cluster,const,2.945100051341376,0.23738071050416076,2.4049836388050587e-35,3390
OLS_cluster,gov_index_zmean,-0.7813015212558196,0.1558279831793296,5.334555312070583e-07,3390
OLS_cluster,trade_exposure,0.006798018380361876,0.0022210608810914346,0.0022081446869647798,3390
OLS_cluster,inflation_consumer_prices_pct,-0.03003560622747332,0.0068673960291871896,1.2218462369360446e-05,3390
RandomEffects,const,2.4063851905360805,0.2810060417453557,0.0,3390
RandomEffects,gov_index_zmean,-0.680809426699827,0.20179437007552192,0.00074977698961054,3390
RandomEffects,trade_exposure,0.012820779191633132,0.002658131139671406,1.474792361566557e-06,3390
RandomEffects,inflation_consumer_prices_pct,-0.02942789060212505,0.006431677405555567,4.922228659332006e-06,3390
